Country,Year,gdp_per_capita_constant_usd,primary_school_enrollment,under5_mortality_per_1000,basic_water_access_pct,basic_sanitation_access_pct,adolescent_fertility_rate,life_expectancy_birth,total_fertility_rate,population_growth,urban_population_pct
AGO,1990,2380.17624300565,81.0857772827148,222.7,,,145.432,41.854,7.272,3.39240335400398,37.144
AGO,1991,2324.36937619854,73.8994369506836,222.5,,,148.019,43.812,7.208,3.35905461487339,38.58
AGO,1992,2118.16654532324,70.7553787231445,222.4,,,148.957,42.267,7.138,3.27414246108306,40.039
AGO,1993,1559.517151584,,222.0,,,149.975,42.19,7.065,3.19559442992564,41.511
AGO,1994,1529.994431256,,221.6,,,151.929,43.567,6.99,3.24168920160086,43.0
AGO,1995,1701.69727652709,,220.7,,,151.604,46.139,6.918,3.33998873703717,44.169
AGO,1996,1867.93503101029,,218.9,,,151.207,46.418,6.851,3.3816089218138,45.346
AGO,1997,1936.91619338589,,216.2,,,151.065,46.688,6.789,3.39551504166387,46.525
AGO,1998,1961.03722525713,76.634407043457,212.6,,,149.649,45.452,6.732,3.34679546644871,47.71
AGO,1999,1938.86184025918,,208.2,,,147.749,45.808,6.683,3.29527663572252,48.897
AGO,2000,1932.98847886814,,203.0,41.1443097881583,27.5575243295056,147.693,46.501,6.639,3.31228746945312,50.087
AGO,2001,1947.85672988915,,196.9,42.254675873402,28.9892228999424,147.253,47.032,6.601,3.35370941359163,51.274
AGO,2002,2139.87259662901,,189.9,43.3768004555676,30.4224688661868,150.196,47.874,6.567,3.40747615681454,52.461
AGO,2003,2128.19579323903,,182.2,44.3638728219385,31.8560605984651,152.242,50.218,6.533,3.49334277776736,53.645
AGO,2004,2277.86696532928,,173.8,45.351334802482,33.2903908906274,155.118,51.123,6.499,3.59445752400652,54.827
AGO,2005,2526.41057941008,,165.0,46.336018417288,34.7226378362301,157.066,52.13,6.461,3.64626893356444,56.0
AGO,2006,2716.25302638209,,155.5,47.1502307724816,35.9912829408025,158.737,52.965,6.419,3.68489201610335,56.764
AGO,2007,2983.0418728513,106.341453552246,146.0,47.9614692762391,37.2593050122209,159.675,54.2,6.372,3.74258021023639,57.524
AGO,2008,3193.28772270836,113.292236328125,137.0,48.7704037164953,38.5275103563643,160.424,55.281,6.32,3.77828976645524,58.282
AGO,2009,3100.60927365473,112.278953552246,128.2,49.5751644888688,39.7942707753161,162.773,56.225,6.26,3.80156187494836,59.034
AGO,2010,3114.69608592822,113.87258174337,119.8,50.3768404281237,41.0607923213848,160.204,57.242,6.194,3.85109824897149,59.783
AGO,2011,3099.9422899117,128.386344899029,112.1,51.1748356552453,42.3266654473422,157.573,58.093,6.12,3.8879459971363,60.528
AGO,2012,3236.57494513146,,104.8,51.9685419144087,43.5914724861148,155.512,58.916,6.039,3.88358355528674,61.268
AGO,2013,3268.63890723473,,98.3,52.7573457655021,44.8547922195447,153.536,59.705,5.953,3.84998068971631,62.002
AGO,2014,3300.73510980871,,92.8,53.5415077905239,46.1170299677134,151.577,60.396,5.864,3.73272806660513,62.731
AGO,2015,3213.90261080059,120.580276489258,88.2,54.316930612657,47.3744826098829,150.244,61.042,5.774,3.60507162233632,63.446
AGO,2016,3020.98332805417,,84.1,55.0842725132132,48.6279413330122,148.905,61.619,5.686,3.57644143982026,64.149
AGO,2017,2911.60084214038,,80.5,55.842909522296,49.8769829625562,147.407,62.122,5.6,3.54061221486272,64.839
AGO,2018,2775.74642272991,,77.3,56.5917487678333,51.120743995819,146.305,62.622,5.519,3.45323300897802,65.514
AGO,2019,2664.43850995544,,74.4,56.8830374949169,51.3936226824603,145.094,63.051,5.442,3.38788422184303,66.177
AGO,2020,2433.37637275564,,71.6,57.1677379228367,51.6603294206642,144.329,63.116,5.371,3.26795864914978,66.825
BDI,1990,427.030031561228,62.5858917236328,169.8,,,74.557,45.184,7.365,2.0861326947595,6.271
BDI,1991,439.186232093461,63.7648010253906,171.1,,,77.494,44.66,7.336,2.06908349172423,6.455
BDI,1992,431.918861835852,61.2891883850098,172.1,,,77.662,44.469,7.301,2.67351109579947,6.637
BDI,1993,417.919297574139,61.1928100585938,195.0,,,78.897,37.221,7.272,-3.14824552751545,6.823
BDI,1994,399.309631526324,,172.2,,,76.802,44.515,7.23,0.649848385023095,7.014
BDI,1995,346.321302413385,47.974048614502,171.2,,,77.57,44.589,7.184,5.98577493416484,7.211
BDI,1996,318.395682563648,37.9824905395508,169.5,,,76.642,44.807,7.123,0.0690460841637087,7.412
BDI,1997,313.357142719203,39.9262313842773,166.7,,,75.16,45.721,7.04,-0.00764380652711988,7.618
BDI,1998,322.030961886279,48.1120796203613,163.0,,,76.014,46.678,6.958,1.91022480299428,7.83
BDI,1999,311.230622126912,57.2445907592773,158.6,,,79.447,47.627,6.897,2.39621572131493,8.036
BDI,2000,302.219163799824,59.2368316650391,153.7,50.6631178584695,45.2147429343412,81.877,47.617,6.872,2.07761630416467,8.246
BDI,2001,300.799882759047,61.9382514953613,148.5,51.2344752955927,45.4235595145127,81.718,48.509,6.849,2.50568660000274,8.461
BDI,2002,305.4383585397,68.6379928588867,143.0,51.8093345293413,45.634367840651,83.48,49.924,6.819,2.82021948884885,8.682
BDI,2003,292.318595090044,74.1769638061523,137.3,52.3873260532119,45.8472924386413,85.006,50.997,6.785,3.15909277106132,8.908
BDI,2004,295.235119511615,79.2554397583008,131.0,52.9684349998327,45.8686367474088,83.988,52.217,6.746,3.72769286109058,9.139
BDI,2005,287.030688980174,84.5035934448242,124.1,53.5526302502999,45.8870569615053,81.046,53.053,6.708,3.71426552783148,9.375
BDI,2006,291.866399549575,107.597122192383,116.8,54.1402304455378,45.9023891144522,78.029,53.962,6.659,3.6016417629351,9.617
BDI,2007,290.979116170807,120.352416992188,109.7,54.730870293527,45.91453002842,75.319,54.832,6.588,3.69817167466282,9.864
BDI,2008,292.793764973044,123.768852233887,102.8,55.3251988251528,45.9232637088484,72.445,55.581,6.515,4.12553206908571,10.118
BDI,2009,288.941917826614,131.400833129883,96.6,55.9221740462688,45.9285444534239,76.535,56.422,6.409,5.06613607694958,10.376
BDI,2010,289.856950614392,135.159734772168,90.8,56.5231180583941,45.930071391903,77.842,57.088,6.26,4.68101057302388,10.642
BDI,2011,290.948032142504,135.992222159155,85.3,57.12765967771,45.9277113706051,75.565,57.804,6.108,3.57769854786004,10.915
BDI,2012,293.232620547249,131.357142093473,80.2,57.7354291237771,45.9213248562526,72.048,58.501,5.991,3.56852147814432,11.194
BDI,2013,296.816900573427,126.110240344608,75.5,58.3474042437146,45.9106159973544,67.548,59.179,5.889,3.59186709345175,11.482
BDI,2014,299.077479357732,121.424109579602,71.3,58.9625419122028,45.8955074527913,64.713,59.764,5.794,3.39447686677984,11.776
BDI,2015,280.966831311923,116.228128078144,67.6,59.5814707751426,45.8757132011188,62.718,60.107,5.695,2.26851729292704,12.078
BDI,2016,274.513363399011,112.482124155559,64.4,60.2041529609438,45.8510198644704,60.404,60.789,5.587,1.72186004024144,12.388
BDI,2017,269.47688960656,107.55418011941,61.5,60.8305474667327,45.8212039832592,58.504,61.345,5.481,2.35048627086438,12.706
BDI,2018,265.672394335817,104.256445289133,59.0,61.4606181708142,45.7860370850932,57.37,61.806,5.38,3.01898182778662,13.032
BDI,2019,261.750180238427,101.506122486696,56.7,62.094321278238,45.7452763887701,56.534,62.18,5.271,3.28367531420808,13.366
BDI,2020,255.078218433565,101.661087301601,54.6,62.2071212739845,45.7275099507196,55.673,62.569,5.177,2.9086530249822,13.708
BEN,1990,749.459666582926,47.1520309448242,172.2,,,126.666,53.02,6.741,3.07281526239198,34.485
BEN,1991,757.403145107877,53.2519683837891,168.0,,,125.405,53.441,6.666,3.0846342257467,35.247
BEN,1992,756.080888165851,56.1324081420898,163.9,,,122.71,54.137,6.593,3.08954460200877,35.827
BEN,1993,765.479914438342,60.9652709960938,159.9,,,124.225,54.612,6.51,4.43675552850148,36.136
BEN,1994,752.277508740764,61.3387985229492,156.1,,,123.918,54.988,6.419,3.74003044963406,36.447
BEN,1995,781.0647884601,64.6903610229492,152.4,,,121.503,55.366,6.33,2.11424008856257,36.758
BEN,1996,793.7950526962,66.9870910644531,149.0,,,119.802,55.648,6.279,2.6166771873555,37.071
BEN,1997,814.901395438676,70.7540817260742,145.8,,,118.575,55.986,6.23,2.95210198459104,37.385
BEN,1998,821.459971433599,73.8903427124023,142.6,,,121.781,56.154,6.136,3.0829668212606,37.699
BEN,1999,838.976786975768,74.3237762451172,139.3,,,120.16,56.336,6.032,3.09369584671073,38.015
BEN,2000,861.213292013209,77.2928009033203,136.1,61.7404116172502,8.60566700510411,118.14,56.594,5.937,3.07665265205002,38.333
BEN,2001,879.854463773645,84.4785537719727,132.8,62.0016480421804,9.00424752605042,119.261,56.654,5.848,3.05435506649292,38.65
BEN,2002,893.137100961634,89.5929565429688,129.6,62.2761523914598,9.42522879725803,116.523,56.851,5.793,3.04010801597376,39.036
